time,latitude (deg),longitude (deg),altitude,geometry,temperature (degC),barometric_pressure (hPa),Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2019-10-29 12:00:00+00:00,-59.3714,8.156,,Point,-4.73,1002.6,ISVP6,,,,,
2019-10-29 13:00:00+00:00,-59.36,8.163,,Point,35.32,1003.1,ISVP6,397.9859590657493,1269.976418300423,0.369687986420232,0.11055165529604147,0.352771227305673
2019-10-29 14:00:00+00:00,-59.3494,8.1708,,Point,34.26,1003.1,ISVP6,443.6188288296551,1180.8532597633264,0.350397931456908,0.12322745245268198,0.3280147943787018
2019-10-29 15:00:00+00:00,-59.3388,8.1784,,Point,33.55,1003.3,ISVP6,432.3787457268224,1180.8513259507642,0.3493116283717722,0.12010520714633956,0.3280142572085456
2019-10-29 16:00:00+00:00,-59.3288,8.1848,,Point,33.55,1003.4,ISVP6,364.2218858537666,1114.008911793227,0.32556615427495383,0.10117274607049072,0.30944691994256307
2019-10-29 17:00:00+00:00,-59.3194,8.19,,Point,33.44,1003.5,ISVP6,296.01724744204205,1047.1668071952188,0.30227845331595976,0.08222701317834501,0.29087966866533854
2019-10-29 18:00:00+00:00,-59.3104,8.1942,,Point,33.09,1003.7,ISVP6,239.15687361183075,1002.6050916654592,0.28631505407059044,0.0664324648921752,0.27850141435151643
2019-10-29 19:00:00+00:00,-59.302,8.197,,Point,32.86,1004.1,ISVP6,159.48005203524923,935.7634935329909,0.2636822586967256,0.0443000144542359,0.25993430375916415
2019-10-29 20:00:00+00:00,-59.2944,8.1988,,Point,32.84,1004.4,ISVP6,102.54817005401732,846.6421134655606,0.236897220035851,0.02848560279278259,0.23517836485154459
2019-10-29 21:00:00+00:00,-59.2878,8.2008,,Point,32.69,1004.9,ISVP6,113.96782224130956,735.2410280490295,0.20667264661170368,0.031657728400363766,0.2042336189025082
2019-10-29 22:00:00+00:00,-59.2816,8.203,,Point,32.49,1005.2,ISVP6,125.38887691158635,690.6802820245725,0.19499161552698874,0.03483024358655176,0.19185563389571458
