time,latitude (deg),longitude (deg),drift_speed (m/s),temperature_surface (degC),barometric_pressure (hPa),barometric_pressure_tendency (hPa),battery_voltage (V),GPS_signal_to_noise_ratio (),GPS_time_since_last_fix (min),Unit_ID,drift_x (m),drift_y (m),U (m/s),u (m/s),v (m/s)
2015-01-17 12:00:00,-68.4856,-4.4672,0.0,0.1,980.3,0.0,16.0,44.0,0,2015P6,,,,,
2015-01-17 13:00:00,-68.478,-4.4458,0.339,0.1,980.6,0.0,16.0,40.0,0,2015P6,876.1918746005505,847.7210010222035,0.33865464316498023,0.24338663183348624,0.23547805583950096
2015-01-17 14:00:00,-68.4702,-4.4234,0.351,0.2,980.8,19.0,16.0,40.0,0,2015P6,917.4437398180179,870.0286423521019,0.351216234948914,0.2548454832827827,0.24167462287558386
2015-01-17 15:00:00,-68.4616,-4.4048,0.34,0.2,981.2,0.9,16.0,44.0,0,2015P6,762.0687027324939,959.2614025348754,0.3403124864472514,0.21168575075902607,0.26646150070413205
2015-01-17 16:00:00,-68.4526,-4.3912,0.319,0.3,981.7,1.1,16.0,44.0,0,2015P6,557.4233271670075,1003.8771483651938,0.3189597887065243,0.15483981310194653,0.27885476343477605
2015-01-17 17:00:00,-68.4444,-4.3826,0.272,0.3,982.1,1.4,16.0,44.0,0,2015P6,352.62843502552886,914.6426767394661,0.2722956305928267,0.0979523430626469,0.25406741020540724
2015-01-17 18:00:00,-68.437,-4.379,0.233,0.2,982.6,1.4,16.0,44.0,0,2015P6,147.66535406198815,825.4084692476727,0.23292030208122244,0.04101815390610782,0.22928013034657574
2015-01-17 19:00:00,-68.4306,-4.377,0.2,0.2,983.2,1.6,16.0,44.0,0,2015P6,82.06310424539949,713.8661906506084,0.1996020909055268,0.022795306734833192,0.19829616406961342
2015-01-17 20:00:00,-68.4258,-4.3778,0.149,0.1,984.0,1.8,16.0,40.0,0,2015P6,-32.83451136515297,535.3992816061872,0.1490014333867714,-0.009120697601431381,0.14872202266838533
2015-01-17 21:00:00,-68.4232,-4.3794,0.083,0.0,984.5,1.9,16.0,44.0,0,2015P6,-65.68292668104881,290.0078148471476,0.0825980429072906,-0.018245257411402448,0.08055772634642988
2015-01-17 22:00:00,-68.4232,-4.3786,0.009,-0.1,985.0,1.7,16.0,40.0,0,2015P6,32.8452288970959,0.0,0.00912367469363775,0.00912367469363775,0.0
2015-01-17 23:00:00,-68.4258,-4.3758,0.087,-0.2,985.6,1.6,16.0,44.0,0,2015P6,114.95830113063982,-290.0078148471476,0.08665595716917497,0.031932861425177726,-0.08055772634642988
2015-01-18 00:00:00,-68.4278,-4.3706,0.086,-0.2,985.9,1.4,16.0,44.0,0,2015P6,213.4695116560721,-223.0829963553427,0.08576779935734524,0.059297086571131134,-0.06196749898759519
2015-01-18 01:00:00,-68.429,-4.3668,0.057,-0.3,985.8,0.9,16.0,44.0,0,2015P6,155.98319186310735,-133.84982362825963,0.05709433621258322,0.04332866440641871,-0.03718050656340545
2015-01-18 02:00:00,-68.43,-4.3626,0.057,-0.4,986.1,0.5,16.0,44.0,0,2015P6,172.39335072970076,-111.54153448107736,0.05703649828478292,0.047887041869361324,-0.030983759578077044
2015-01-18 03:00:00,-68.43,-4.362,0.007,-0.4,985.8,-0.1,16.0,44.0,0,2015P6,24.626535281285154,0.0,0.006840704244801431,0.006840704244801431,0.0
